Name,Stars,Rooms,Beds,Postcal Code,Nr,Location
AMSTERDAM AMERICAN HOTEL - HAMPSHIRE EDEN,4,175,354,1017PN,97,52.3641:4.8804
AMSTEL INTERCONTINENTAL AMSTERDAM,5,79,165,1018GX,1,52.36:4.9061
"AMSTERDAM CENTRE,NH",4,232,462,1054ES,7,52.3622:4.8805
"BARBIZON PALACE,NH",5,274,544,1012AD,59-72,52.3765:4.9005
"DOELEN HOTEL,NH",4,85,162,1012CP,24,52.368:4.8949
"EUROPE HOTEL,DE L'",5,111,222,1012CP,2-8,52.368:4.8949
GRAND HOTEL KRASNAPOLSKY NH,5,468,937,1012JS,9,52.3728:4.8939
PARK HOTEL,4,189,378,1071ZD,25,52.3614:4.8838
WYNDHAM APOLLO AMSTERDAM,4,446,669,1077BA,2,52.3491:4.8834
PIET HEIN HOTEL,3,81,141,1071AK,51-53,52.3599:4.8768
NOVA HOTEL,3,61,140,1012RS,276-278,52.3717:4.8903
"BRIDGE HOTEL,THE",3,51,115,1018EM,107-111,52.3624:4.9039
PARK PLAZA VICTORIA AMSTERDAM HOTEL,4,306,604,1012LG,1-5,52.3769:4.8976
HAMPHSHIRE HOTEL BEETHOVEN,3,52,107,1077HN,43-51,52.3477:4.8773
AMSTERDAM MARRIOTT HOTEL,5,396,1061,1054ES,12,52.3622:4.8805
HILTON AMSTERDAM HOTEL,5,271,542,1077BG,138,52.3513:4.8716
"GERSTEKORREL HOTEL,DE",2,32,75,1012JM,22,52.3721:4.8948
DAMRAK INN HOTEL,2,23,56,1012LL,58,52.3753:4.8955
CHICO'S GUESTHOUSE,0,3,6,1073VA,77,52.354:4.901
DAMHOTEL,2,19,51,1012LJ,31,52.3763:4.8969
AMSTERDAM HOSTEL CENTRE,1,11,41,1017RE,13,52.3636:4.8852
CORDIAL HOTEL,3,59,108,1012KW,62-64,52.3705:4.8923
BLYSS HOTEL,3,39,87,1054GN,74,52.3618:4.8752
"LEIDSE SQUARE HOTEL A'DAM, BEST WESTERN",3,89,187,1054ET,23,52.362:4.8792
KOOYK HOTEL,1,19,39,1017PM,81-83,52.3647:4.8798
MERCURE HOTEL AMSTERDAM CITY,4,368,751,1096CJ,10,52.3267:4.917
NEUTRAAL HOTEL,0,34,55,1012LG,8,52.3769:4.8976
MANOFA HOTEL,1,47,126,1012LL,46-48,52.3753:4.8955
AGORA HOTEL,2,16,38,1017AW,462,52.3672:4.8895
"POSTE HOTEL,DE LA",2,7,17,1017LJ,3-5,52.3642:4.8962
ROEMER HOTEL,4,23,46,1054EX,8-10,52.3617:4.8777
